repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
microsoft/generative-ai-for-beginners,Tutorials,,63687,399,0.63%,1388,2.18%,32377,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/","koreyspace, john0isaac, yoshioterada",93,2023-06-19,2024-10-07,0
jmorganca/ollama,AI engineering,AI interface,92782,163,0.18%,887,0.96%,7316,"Get up and running with Llama 3.2, Mistral, Gemma 2, and other large language models.","mxyng, jmorganca, dhiltgen",100+,2023-06-26,2024-10-10,1936670
Cinnamon/kotaemon,AI engineering,AIE framework,13880,161,1.16%,474,3.41%,1040,An open-source RAG-based tool for chatting with your documents.,"trducng, taprosoft, lone17",20,2024-03-25,2024-10-10,4184
rasbt/LLMs-from-scratch,Tutorials,,28982,145,0.50%,865,2.98%,3323,"Implementing a ChatGPT-like LLM in PyTorch from scratch, step by step","rasbt, d-kleine, Intelligence-Manifesto",25,2023-07-23,2024-10-08,0
langgenius/dify,AI engineering,AIE framework,47552,134,0.28%,489,1.03%,6773,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.","takatost, iamjoel, JohnJyong",100+,2023-04-12,2024-10-10,0
infiniflow/ragflow,AI engineering,AIE framework,18966,111,0.59%,483,2.55%,1925,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,"KevinHuSh, cike8899, guoyuhao2330",97,2023-12-12,2024-10-10,0
composiohq/composio,AI engineering,Agent,8957,100,1.12%,521,5.82%,3406,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling,"kaavee315, utkarsh-dixit, angrybayblade",30,2024-02-23,2024-10-10,109
logspace-ai/langflow,AI engineering,AIE framework,31060,97,0.31%,657,2.12%,3869,"Langflow is a low-code app builder for RAG and multi-agent AI applications. It’s Python-based and agnostic to any model, API, or database.","ogabrielluiz, anovazzi1, lucaseduoli",100+,2023-02-08,2024-10-10,1152
continuedev/continue,Applications,Coding,17953,91,0.51%,554,3.09%,1401,⏩ Continue is the leading open-source AI code assistant. You can connect any models and any context to build custom autocomplete and chat experiences inside VS Code and JetBrains,"sestinj, TyDunn, Patrick-Erichsen",100+,2023-05-24,2024-07-26,243
comfyanonymous/ComfyUI,AI engineering,AIE framework,52798,82,0.16%,511,0.97%,5577,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.","comfyanonymous, pythongosssss, huchenlei",100+,2023-01-17,2024-10-10,581497
hiyouga/LLaMA-Factory,Model development,Modeling & training,32157,80,0.25%,308,0.96%,3937,Unified Efficient Fine-Tuning of 100+ LLMs (ACL 2024),"hiyouga, BUAADreamer, codemayq",100+,2023-05-28,2024-10-08,0
gradio-app/gradio,AI engineering,AI interface,32677,68,0.21%,179,0.55%,2458,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!","abidlabs, pngwn, aliabd",100+,2018-12-19,2024-10-10,0
facefusion/facefusion,Applications,Image production,18707,67,0.36%,195,1.04%,2826,Industry leading face manipulation platform,"henryruhs, sklart",2,2023-08-17,2024-10-03,0
openai/whisper,Model repo,,69200,66,0.10%,467,0.67%,8150,Robust Speech Recognition via Large-Scale Weak Supervision,"jongwook, ryanheise, EliEron",66,2022-09-16,2023-09-18,0
langchain-ai/langchain,AI engineering,AIE framework,93288,66,0.07%,252,0.27%,15007,🦜🔗 Build context-aware reasoning applications,"baskaryan, hwchase17, efriis",100+,2022-10-17,2024-10-09,4816
ggerganov/llama.cpp,Model development,Inference optimization,66096,62,0.09%,334,0.51%,9494,LLM inference in C/C++,"ggerganov, slaren, JohannesGaessler",100+,2023-03-10,2024-09-12,253053
RVC-Boss/GPT-SoVITS,AI engineering,AI interface,33853,61,0.18%,376,1.11%,3882,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),"RVC-Boss, KamioRinn, XXXXRT666",71,2024-01-14,2024-10-02,0
